ET,N,adaptive,alpha,avg_accept,avg_samples,avg_stop,beta,false_discoveries,fdp,min_AB,n_discoveries,n_tests,nrep,power,prior,s,step,steps,target,test,timestamp,true_discoveries,true_effects,type_one_error
5000,500,,0.05,0.0,500.0,500.0,,0,0.0,200,0,286050,50,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,,,H/AB,fixed,,0,300,0.0
5000,4000,1.0,0.05,1608.9838591342627,104.31331934976403,97.10938680024026,-1.0,108,0.03961848862802641,200,2726,572100,100,0.187,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,10.0,H/AB,bayesian,1525214010.0,2618,14000,0.00019351370722092814
5000,1000,,0.05,786.0,999.9887781856319,1000.0,,0,0.0,200,15,286050,50,0.01875,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,5.0,,H/AB,fixed-early,,15,800,0.0
5000,1000,,0.05,1000.0,1000.0,1000.0,,731,0.010464983107140812,200,69852,286050,50,0.4314669163545568,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.25,,,H/AB,fixed,,69121,160200,0.005808502185141041
5000,5000,0.0,0.05,1572.3739186453156,396.3398234574375,349.9025797284726,0.05,1258,0.057886986931713603,200,21732,572100,100,0.4038264299802761,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,1.0,H/AB,bayesian,1525214082.0,20474,50700,0.002412734944380514
5000,5000,0.0,0.05,0.0,1.0,1.0,0.05,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,1.0,H/AB,bayesian,1525215229.0,0,3400,0.0
5000,500,,0.05,500.0,500.0,500.0,0.2,187,0.026687598116169546,200,7007,572100,100,0.07404994571118349,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,fixed,1525044394.0,6820,92100,0.0003895833333333333
5000,500,,0.05,333.82869525547443,493.6331497989862,500.0,0.2,187,0.042655109489051095,200,4384,114420,20,0.13426103646833012,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,fixed-early,1525044490.0,4197,31260,0.0022486772486772486
5000,2000,,0.05,1232.621818181818,1998.1556633455689,2000.0,0.2,4,0.014545454545454545,200,275,114420,20,0.22966101694915253,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,,H/AB,fixed-early,1525050332.0,271,1180,3.532320734722713e-05
5000,1000,,0.05,1000.0,1000.0,1000.0,,1,0.07692307692307693,200,13,286050,50,0.015,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,,,H/AB,fixed,,12,800,3.5056967572304994e-06
5000,5000,0.0,0.05,0.0,1.0,1.0,0.1,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,,1.0,H/AB,bayesian,1525215230.0,0,1600,0.0
5000,2000,,0.05,0.0,237.80174794616326,237.80174794616326,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,,,H/AB,msprt,1525046295.0,0,600,0.0
5000,4000,0.0,0.05,1202.016623207301,847.2043523859465,779.17760279965,0.1,4823,0.05240112994350282,200,92040,572100,100,0.5580102367242482,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,10.0,H/AB,bayesian,1525214008.0,87217,156300,0.011599326599326599
5000,1000,,0.05,1000.0,1000.0,1000.0,,0,0.0,200,55,286050,50,0.03235294117647059,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,,55,1700,0.0
5000,4000,,0.05,1636.5743910304113,2664.560566334557,2884.3829498318532,0.2,52,0.0025797489705809396,200,20157,114420,20,0.42758400680561465,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.26,,,H/AB,msprt,1525044659.0,20105,47020,0.000771513353115727
5000,1000,,0.05,0.0,1000.0,1000.0,,0,0.0,200,0,286050,50,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,5.0,,H/AB,fixed-early,,0,300,0.0
5000,5000,0.0,0.05,1390.8530084563029,1285.621777661248,1261.5053734793762,0.05,5995,0.0562034762717267,200,106666,572100,100,0.6440882917466411,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,1.0,H/AB,bayesian,1525215229.0,100671,156300,0.014417989417989418
5000,2000,,0.05,2000.0,2000.0,2000.0,0.2,3,0.011450381679389313,200,262,114420,20,0.21949152542372882,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,,H/AB,fixed,1525043432.0,259,1180,2.6492405510420347e-05
5000,500,,0.05,280.03548080683913,458.71310959622446,500.0,,1750,0.03259391704382485,200,53691,286050,50,0.32422596754057426,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.25,5.0,,H/AB,fixed-early,,51941,160200,0.013905442987683751
5000,500,,0.05,500.0,500.0,500.0,0.2,177,0.021258707662743213,200,8326,114420,20,0.17330923011484475,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.26,,,H/AB,fixed,1525043379.0,8149,47020,0.002626112759643917
5000,500,,0.05,387.408256880734,499.8283866456913,500.0,,25,0.05733944954128441,200,436,286050,50,0.030671641791044778,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,5.0,,H/AB,fixed-early,,411,13400,9.169264624977077e-05
